	GSM3014964_Tissue_CTRL1	GSM3014965_Tissue_CTRL2	GSM3014966_Tissue_CTRL3	GSM3014967_Tissue_CTRL4	GSM3014968_Tissue_CTRL5	GSM3014969_Tissue_CTRL6	GSM3014970_Tissue_CTRL7	GSM3014971_Tissue_CTRL8	GSM3014972_Tissue_PD1	GSM3014973_Tissue_PD2	GSM3014974_Tissue_PD3	GSM3014975_Tissue_PD4	GSM3014976_Tissue_PD5	GSM3014977_Tissue_PD6	GSM3014978_Tissue_PD7	GSM3014979_Tissue_PD8
ACTG1	-1.3336122038253282	1.4775184340283651	-0.16470966408761747	-1.2056954545032594	-0.5128930865516684	0.8251508490342166	-1.1000545344111903	-0.9158682894923422	0.6487544674078207	0.8245715083134842	2.0850233795241766	-0.5571667682407014	-1.1804924607675542	0.4047283594919511	0.3371969517405061	0.36754851233932695
APP	-3.2468638158890304	0.2894043435413627	0.7891252846103335	-1.1958117351978366	0.6709373135335747	0.6297677700068108	0.4000142960380978	-0.46789945585036524	0.6231007036229171	0.42139373747636943	-0.02363749027754989	0.48451090888943005	-0.16151073074744393	0.30352732801825943	0.9697342703846328	-0.4857927281595934
SCARNA5	0.3243846391652205	1.5368206373392215	-1.4484797258293352	1.6500591430789047	-0.5648080577858119	-0.5178914665185697	0.4938691518440566	1.23859875043695	0.16617894639475098	-0.4280156742246932	-0.6127121048936699	0.03063190204638257	-0.011883731736466407	-1.5091742999538031	-1.4817634557072756	1.1341853463440734
SCARNA10	-0.21502849772369334	1.2719986665924143	-0.7157364906472083	1.5337915248585583	0.08151473065210009	-1.3209406657970957	-0.12195314739311189	1.5832827306987596	-0.4727631062096899	-0.7005261155571232	-0.378320697269391	-0.4682636192471325	0.17807219008137964	-1.7688454616750278	-0.19576034146091015	1.7094783000971676
ATP1A3	-3.3667808902421332	0.019129206448933445	0.8015030614443533	-0.7353896647955565	0.2703086021198494	1.0967341658134109	0.5553104777860212	-0.5003926821769221	0.41895830230719516	0.2820188190178373	-0.0007397870859648429	0.2890513286196709	0.24111391244174665	0.4177279432874063	0.8313133127312479	-0.6198661077170519
dJ681N20.2	3.170078209461299	0.9388657734211435	-0.8594364768075138	-0.14266033569541747	-0.7111491222091444	-0.5854393577420136	-1.022734959720027	-0.8216298794366502	-0.29023850195236756	-0.7217659839216927	0.9604377711759193	0.14065188590080022	-0.007333949202868843	-0.10618559772290954	-0.27086849799449464	0.32940902244594583
NEFH	-2.014478204729162	-0.3571950709869165	1.0217702949702492	1.0853349960144476	-0.1761839476515139	0.32926045551668004	0.7758466743200468	1.4826143008141006	-1.3826148229067305	0.47597970247190796	0.5194220822319847	-0.6667190551295428	0.7480117740977346	-1.7987891884962226	0.02488663627885275	-0.0671466268159014
PRNP	-3.357492545014418	-0.1072636995564924	0.4241699756450534	-0.9809954986230017	1.0595452243965005	-0.013951591870189557	-0.02056153600098632	0.2472853643524158	-0.1298405901697911	-0.3643439602964477	0.13096297640481203	0.8727884550812434	0.7836957900965004	0.4615760524809591	0.7607214841669538	0.23370409890685145
PSAP	-2.0398567026347507	0.9979177355166885	0.23853938648980447	-2.1565780749975385	0.9791648595056126	0.414742732567264	0.44472151606886634	-1.001853150881116	1.0450678119045456	-0.48619682226442507	-0.26319423171183226	1.0472254224880273	-0.00965873272463728	0.5660510623113081	0.8058814697434671	-0.5819742813812311
TPI1	-1.9218337762295967	-0.9753836648568216	0.6513348836944571	-1.2688170267099181	0.48991124098710254	1.1910196629145773	0.527069064156201	-1.1155983494966766	-0.23821680123660763	-0.8163162744006252	0.07542752695752233	0.5656107840583803	0.8011997131441945	1.1554328136082292	1.6074871728707933	-0.7283269694611954
