Gene_Symbol,GSM3014964_Tissue_CTRL1,GSM3014965_Tissue_CTRL2,GSM3014966_Tissue_CTRL3,GSM3014967_Tissue_CTRL4,GSM3014968_Tissue_CTRL5,GSM3014969_Tissue_CTRL6,GSM3014970_Tissue_CTRL7,GSM3014971_Tissue_CTRL8,GSM3014972_Tissue_PD1,GSM3014973_Tissue_PD2,GSM3014974_Tissue_PD3,GSM3014975_Tissue_PD4,GSM3014976_Tissue_PD5,GSM3014977_Tissue_PD6,GSM3014978_Tissue_PD7,GSM3014979_Tissue_PD8
AACS,3.02008,4.40612,6.42924,6.64635,5.9085,6.69189,5.64841,4.70754,5.61535,5.51104,4.52975,6.0311,5.71072,5.42315,6.79299,4.33984
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04555,0,0
AADACL2,0.03727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0.01867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0.12707,0,0.05097,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,3.14088,3.37657,4.59855,2.97094,3.30517,3.14587,3.61871,4.43642,4.24004,3.51993,3.92971,2.36215,2.96357,3.91631,4.04664,3.57576
AAED1,0.0732,0.15357,0.23848,0.24575,0.06564,0.05376,0.21827,0.15363,0.12856,0.18094,0.14052,0.22484,0.06428,0.40067,0.1548,0.04099
AAGAB,2.38151,5.04733,6.87196,3.90908,6.40639,6.73022,5.67987,4.29752,5.61116,5.83564,5.34461,6.45671,5.68787,5.92184,7.13359,3.85437
AAK1,6.14451,10.31744,13.65647,12.59239,12.25257,12.01791,13.15189,11.07609,11.51632,12.03958,12.35527,11.62171,12.86483,11.43554,13.05972,9.69036
AAMDC,2.6883,1.06169,1.23651,1.3321,2.04189,0.90597,1.65046,1.82076,2.33308,1.74229,1.58732,0.94721,1.61099,1.23349,2.23591,1.48767
AAMP,24.91314,41.71287,43.78603,36.43185,43.93999,41.39887,43.22758,29.30894,46.17565,46.67836,32.18647,46.01086,41.58884,44.00699,45.97691,32.10963
AANAT,0.21104,0.25829,0.12892,0.06441,0.1577,0,0.02622,0.12656,0.04633,0,0.21705,0.2431,0.24712,0.0361,0.19128,0.25605
AAR2,9.26121,8.90236,8.0245,9.44528,6.49314,6.94231,8.37219,8.74208,8.40092,8.58657,6.08331,8.07783,8.12227,7.06696,7.25405,8.79277
AARD,0.04701,0,0.09572,0,0.19671,0,0.11681,0.08457,0,0.1328,0.02578,0,0,0,0.14202,0.0351
AARS,83.86533,120.23122,146.56566,116.17577,128.54291,134.62614,154.74905,122.12301,129.10794,126.83087,145.73727,137.40282,139.34096,120.76687,146.1489,100.97623
AARS2,5.71553,4.76645,5.69182,5.22671,5.05411,6.17826,5.95992,5.14126,5.62546,5.59041,5.12843,4.37259,5.35415,5.416,4.99135,5.27385
AARSD1,8.75863,27.22245,25.80412,20.4264,27.08422,25.92991,24.88943,16.49853,31.40677,21.72514,15.64258,20.79633,20.26528,25.49287,28.00175,16.09824
AASDH,4.38162,4.79841,3.89502,4.2023,3.85298,4.08933,3.62816,6.53895,3.14461,4.27477,4.06756,4.45289,3.92244,3.74623,3.741,5.74373
AASDHPPT,1.85853,4.82836,4.35089,3.06082,4.41796,4.39761,3.76605,4.75172,4.04206,3.95107,3.86903,4.49722,4.10792,4.57032,4.46562,3.08028
AASS,7.49123,3.70161,2.72716,4.73794,1.95099,2.16118,2.61376,4.57856,2.92555,3.23658,2.80119,1.74012,2.62368,2.10583,2.14574,4.0781
AATF,18.18036,15.37773,13.30099,15.24351,13.81939,9.83246,11.9035,12.54938,11.07149,14.44754,14.31681,13.1081,13.29882,11.45861,12.06811,14.8518
AATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATK,21.47927,21.38407,16.57069,23.50074,12.81052,14.69082,17.32679,12.73983,15.67482,18.0704,9.93788,11.15635,14.12193,10.02918,14.59674,12.01742
AATK-AS1,0.23966,0.10056,0.05856,0.3511,0.17192,0,0.17867,0.08623,0.12628,0.15234,0.11831,0.05521,0.16838,0.04919,0,0
AB014085.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB014085.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB014085.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB014085.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB014085.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB014085.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB014085.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB023060.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB023060.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB023060.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB023060.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB023060.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB023060.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,44.65972,32.32343,32.60833,25.76238,30.79422,32.49484,35.79786,37.08126,28.04056,32.82363,31.20125,31.4899,33.98225,34.78527,38.3895,36.39812
ABC35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,8.51647,4.76822,3.00724,10.78724,4.02257,3.28509,3.58551,2.99253,4.65936,3.80428,2.62183,3.88182,3.88767,3.45317,3.19119,6.3496
ABCA10,0.79791,0.81227,0.81334,1.02887,0.86365,0.64502,1.16856,1.45246,0.89559,0.97034,0.75361,0.58736,0.79611,0.66871,0.48783,0.81959
ABCA11P,1.98726,2.61859,2.50199,3.10662,2.586,2.93709,2.92687,3.86949,2.04317,3.13228,2.70183,1.53539,1.55371,2.28835,1.99886,3.01274
ABCA12,0.15519,0.14193,0.14099,0.1093,0.11418,0.08768,0.06526,0.11096,0.04193,0.10117,0.05566,0.04584,0.05591,0.12252,0.02885,0.09359
ABCA13,0.01965,0.00412,0.0096,0.0072,0.01409,0.01299,0,0.00884,0,0.00416,0.00647,0.00453,0.0138,0.01613,0.00356,0.02201
ABCA17P,0.0115,0.01206,0.02107,0,0.01031,0.01267,0,0.0362,0,0.02436,0.01892,0,0,0,0.01042,0.01932
ABCA2,111.5646,109.96888,74.75793,99.19416,68.93896,73.01627,83.40124,59.49323,74.06977,78.52753,45.4799,62.87944,68.76508,64.93311,75.21041,59.18297
ABCA3,65.08286,74.46839,82.82323,67.03208,79.34702,88.38166,81.98026,61.91972,81.22031,88.09367,78.05599,80.58305,72.95005,81.97666,89.30721,66.14285
ABCA4,0.32402,0.15946,0.24437,0.38092,0.35152,0.27325,0.44733,0.37423,0.38994,0.28817,0.21722,0.23961,0.17566,0.18065,0.15228,0.1568
ABCA5,1.58375,2.31853,2.50174,2.34834,2.68658,2.41551,2.39661,3.40741,2.52999,2.59812,3.2698,2.23957,2.32507,2.50493,2.19066,2.65065
